예측대상일자,배추_가격(원/kg),무_가격(원/kg),양파_가격(원/kg),건고추_가격(원/kg),마늘_가격(원/kg),대파_가격(원/kg),얼갈이배추_가격(원/kg),양배추_가격(원/kg),깻잎_가격(원/kg),시금치_가격(원/kg),미나리_가격(원/kg),당근_가격(원/kg),파프리카_가격(원/kg),새송이_가격(원/kg),팽이버섯_가격(원/kg),토마토_가격(원/kg),청상추_가격(원/kg),백다다기_가격(원/kg),애호박_가격(원/kg),캠벨얼리_가격(원/kg),샤인마스캇_가격(원/kg)
2020-09-29+1week,1294.099912550384,783.1774789085588,958.3574832079528,17025.420046287316,4317.606127318313,1758.6751315919935,1452.3598751032791,982.2238904149299,7164.86967781471,3277.028942265091,2779.8883022781197,1648.2571369230845,4354.462118601549,2294.5918279636708,2068.396754986168,3524.741988301253,5346.113460450904,2110.568569708513,2080.751506278011,3705.4474290452727,13902.645676486618
2020-09-29+2week,1115.7515994076975,760.8899096612254,959.9603966754004,17241.96580055703,4414.888066601141,1671.04903737317,1438.5320369389397,977.0437698254775,6921.072189800263,3026.5553990010203,2771.1064614127536,1636.818027963016,4251.0546222519715,2259.13692352033,2081.9926717419053,3573.572480089797,5656.70579863548,2132.0990928999427,2208.2120004259023,3733.9546524257057,13902.47254324627
2020-09-29+4week,939.9555344364019,643.7002993202079,1015.1851484269358,17421.661764953966,4648.374293707894,1565.249272904307,1418.4750097788428,951.8832761000381,6820.197323848602,3112.482925877572,2710.9323895736816,1662.757016222419,4611.906715813551,2266.1130458287353,2074.412514003353,3322.7998748540285,4460.6090426441515,1991.204179685693,2553.336876171699,3925.4211394713616,14672.806615234116
2020-09-30+1week,1265.181063535435,800.9942158489175,949.9724396813211,17076.751515902703,4350.847113600458,1742.9297395063634,1426.549417006489,987.6709138709763,7219.606275666594,3178.077491383676,2774.1045026099446,1604.8130550348899,4470.64260514152,2315.7485913450723,2097.841411137441,3548.4078621935178,5211.74196303379,2175.336832752468,2118.447410088622,3718.7051198511454,13838.997070446654
2020-09-30+2week,1086.0791190559705,769.61524257694,953.9931689946375,17269.93091490223,4433.41203309925,1649.9958615485707,1411.0055982829247,976.8908799081601,6985.125870664502,2950.3333754751065,2731.5219130794544,1595.6678981659325,4417.381880832254,2277.5941281955893,2109.301832095431,3590.989861596666,5475.765937198286,2183.0260400003926,2271.821968125725,3752.1221831312982,13835.34631138031
2020-09-30+4week,931.9897511361801,650.6297034364272,1011.3717158382993,17322.97420409957,4656.157718056546,1549.6821135276232,1380.839241917719,950.0712236613435,6868.895378591182,3046.3359068396735,2657.8303535334917,1622.3539281540234,4727.60587151866,2284.822339988786,2084.8294754535555,3305.969702063664,4123.469335792027,2031.9173842564833,2584.956329211417,3945.0330057757583,14753.252728909334
2020-10-01+1week,1257.8087272643108,792.9262802652952,960.1486981201622,16427.446489532114,4371.132166313647,1732.6597812982463,1383.965932907141,978.9412358573129,7108.580677770123,3046.3903259058425,2604.4696400716034,1566.861805915312,4327.643299499664,2317.8357301442074,2036.4421079807855,3531.278574831309,5083.408170184999,2147.2059083835084,2133.4425978697973,3674.886120385613,13495.55306837468
2020-10-01+2week,1081.7402307851607,753.7102518562219,968.1975422631944,16675.696667511816,4449.453422107794,1636.2686003237045,1371.1313556637817,963.7651678306989,6911.244120015244,2857.7671858479393,2559.496694502539,1564.3798003691757,4332.601990930671,2281.8756163929615,2048.243867385544,3553.6215909844423,5299.071399260762,2145.6882044425374,2316.5335170040476,3715.264031320795,13496.214746686646
2020-10-01+4week,952.7045590947952,636.2183834729102,1028.612357917782,16691.31350196408,4667.282389535819,1543.9219597569736,1337.370569941614,937.9941415401744,6806.668331206847,2977.218736006892,2520.58608815051,1595.4673243779512,4591.226580807696,2295.166441618337,2011.1844251212833,3240.407216229193,3811.6586207114497,1993.917129759505,2599.9763731026924,3908.286836470337,14556.959676422752
2020-10-02+1week,1182.2292355972813,788.1436046655111,925.13726823907,17186.04218882064,4087.5465503739388,1665.8252020002244,1340.6807378552905,964.7639757211077,6898.988298885139,2904.019600993336,2540.308899360569,1544.3658330487056,4176.135866474933,2244.6663155888914,1950.0213081951592,3534.4661791885314,5088.300436614903,2145.5464333830505,2147.1282580066763,3580.563983653961,13441.366739124
2020-10-02+2week,1019.0714644357963,747.987988156196,941.652715968198,17547.85331105534,4191.151452081085,1580.0623993429188,1339.0877439845863,953.9085019995381,6777.044577330714,2769.9377113713954,2504.3688308367564,1554.3777782326258,4264.714893468035,2226.585136350325,1974.1726170581328,3563.770645048805,5257.5510905304145,2145.0803359574356,2363.5908025569925,3649.9707982026075,13533.958563531754
2020-10-02+4week,922.8839569790907,639.3380887241551,1008.6817373130564,17580.689930943292,4433.121888644821,1510.887743373862,1310.241698133647,938.6690843253554,6715.40219469549,2922.489549308828,2518.7032984947837,1593.7606499815897,4483.65645009989,2260.024217655592,1937.114496917286,3249.630810311865,3661.3875796202387,2006.8065898538657,2619.547376742042,3862.011410891182,14812.709605796957
2020-10-03+1week,1132.2161315137564,755.335224316659,895.8156014628264,16120.126171137694,4190.819424194108,1588.964791585358,1311.413861670991,936.7730589999362,6758.2768910390005,2814.8509999287076,2425.9566753993963,1494.7568503146306,3998.304711385768,2194.6439698077434,1895.56396541375,3484.9660377708656,5163.25969267149,2121.94674527586,2104.5282782362106,3620.20051960236,13140.780298392734
2020-10-03+2week,984.3515810135185,714.2906370201872,920.9816569418696,16591.547619049896,4329.105647393728,1516.0928841350112,1320.2285377170083,930.1648712403136,6707.425554982445,2738.194692244169,2398.5618085889773,1517.0117798534538,4165.443077523008,2195.051070591333,1933.2459530924282,3519.7909663275404,5276.852942196358,2123.637405576485,2348.9156652922475,3721.476816058419,13338.715582822326
2020-10-03+4week,919.3045552545827,614.5413245445507,992.7477517534649,16621.755176889426,4596.535795563394,1470.191476644975,1294.3801985219072,924.6421573470034,6674.412470802228,2915.0697018147575,2470.270018858798,1560.9423428713026,4324.6442287004265,2244.6918776196644,1894.0348807044734,3204.918242789742,3585.9384263402308,2000.5560812548297,2571.0193748720712,3946.745692998062,14796.359335462572
2020-10-04+1week,1116.9279702984634,748.8938530297285,885.0225779239925,17582.996348030836,4081.017255222356,1680.9224913060532,1319.8876639408063,922.2632219799168,6776.050078928876,2755.0156898431305,2483.480090434923,1378.9112691909577,3831.680270328162,2164.073227842759,1887.7102383125073,3422.0666401110407,5329.012033918927,2041.3528866810461,2022.5839844534496,3528.254888696649,13124.183625742751
2020-10-04+2week,985.6130401856947,702.6310297350649,918.777937990084,18159.39247638856,4243.139296484323,1603.3896665524207,1338.4601492917197,920.0884943714004,6763.991655557169,2730.377240810888,2465.08160220577,1413.3380140265274,4068.0242988216974,2183.078298467657,1936.421232396358,3438.643159474572,5367.026639754749,2045.0571851768732,2280.6207342735324,3660.213907474863,13436.372985007094
